State,X-distance,Y-distance,Cost,Pos_x,Pos_y,Orientation,Goal_x,Goal_y,R1,R2,R3,R4,R5,R6,R7,R8,G1,G2,G3,G4,G5,G6,G7,G8
FORWARD,465,503,2219,78,125,UP,490,550,8,7,8,7,8,7,2,3,8,2,9,4,4,7,9,8
FORWARD,465,503,2217,78,126,UP,490,550,7,5,8,7,3,1,3,7,8,2,9,4,4,7,9,8
BASH,465,503,2214,78,127,UP,490,550,7,2,3,1,7,6,3,5,8,2,9,4,4,7,9,8
FORWARD,465,503,2210,78,129,UP,490,550,6,3,5,3,7,6,1,6,8,2,9,4,4,7,9,8
BASH,465,503,2209,78,130,UP,490,550,3,1,7,6,6,8,9,4,8,2,9,4,4,7,9,8
BASH,465,503,2205,78,132,UP,490,550,8,9,4,8,7,1,5,6,8,2,9,4,4,7,9,8
FORWARD,465,503,2200,78,134,UP,490,550,1,5,6,3,3,8,3,4,8,2,9,4,4,7,9,8
BASH,465,503,2197,78,135,UP,490,550,3,2,3,8,4,4,5,9,8,2,9,4,4,7,9,8
LEFT,465,503,2192,78,137,UP,490,550,4,5,9,4,4,8,9,7,8,2,9,4,4,7,9,8
FORWARD,465,503,2191,78,137,RIGHT,490,550,4,5,9,4,4,8,9,7,8,2,9,4,4,7,9,8
BASH,465,503,2187,79,137,RIGHT,490,550,5,9,5,2,9,9,7,2,8,2,9,4,4,7,9,8
FORWARD,465,503,2182,81,137,RIGHT,490,550,5,6,7,9,1,2,2,5,8,2,9,4,4,7,9,8
BASH,465,503,2181,82,137,RIGHT,490,550,6,7,6,2,7,2,5,5,8,2,9,4,4,7,9,8
RIGHT,465,503,2177,84,137,RIGHT,490,550,6,5,8,7,6,5,6,5,8,2,9,4,4,7,9,8
BASH,465,503,2176,84,137,UP,490,550,6,5,8,7,6,5,6,5,8,2,9,4,4,7,9,8
BASH,465,503,2169,84,139,UP,490,550,5,6,5,4,6,1,5,3,8,2,9,4,4,7,9,8
FORWARD,465,503,2163,84,141,UP,490,550,1,5,3,4,9,1,4,4,8,2,9,4,4,7,9,8
LEFT,465,503,2159,84,142,UP,490,550,4,3,9,1,4,6,6,9,8,2,9,4,4,7,9,8
BASH,465,503,2157,84,142,RIGHT,490,550,4,3,9,1,4,6,6,9,8,2,9,4,4,7,9,8
BASH,465,503,2152,86,142,RIGHT,490,550,9,9,4,4,8,9,6,7,8,2,9,4,4,7,9,8
RIGHT,465,503,2148,88,142,RIGHT,490,550,4,2,7,8,4,7,6,7,8,2,9,4,4,7,9,8
BASH,465,503,2147,88,142,UP,490,550,4,2,7,8,4,7,6,7,8,2,9,4,4,7,9,8
BASH,465,503,2139,88,144,UP,490,550,7,6,7,4,5,9,8,4,8,2,9,4,4,7,9,8
FORWARD,465,503,2134,88,146,UP,490,550,9,8,4,4,6,3,1,5,8,2,9,4,4,7,9,8
BASH,465,503,2133,88,147,UP,490,550,4,2,6,3,5,7,7,7,8,2,9,4,4,7,9,8
BASH,465,503,2126,88,149,UP,490,550,7,7,7,7,9,4,5,2,8,2,9,4,4,7,9,8
BASH,465,503,2118,88,151,UP,490,550,4,5,2,8,7,6,4,3,8,2,9,4,4,7,9,8
BASH,465,503,2113,88,153,UP,490,550,6,4,3,2,9,4,9,4,8,2,9,4,4,7,9,8
LEFT,465,503,2109,88,155,UP,490,550,4,9,4,5,8,7,8,4,8,2,9,4,4,7,9,8
BASH,465,503,2108,88,155,RIGHT,490,550,4,9,4,5,8,7,8,4,8,2,9,4,4,7,9,8
BASH,465,503,2102,90,155,RIGHT,490,550,4,5,3,8,8,4,9,2,8,2,9,4,4,7,9,8
BASH,465,503,2096,92,155,RIGHT,490,550,3,4,6,8,4,2,2,3,8,2,9,4,4,7,9,8
RIGHT,465,503,2091,94,155,RIGHT,490,550,6,3,6,4,6,3,8,9,8,2,9,4,4,7,9,8
BASH,465,503,2090,94,155,UP,490,550,6,3,6,4,6,3,8,9,8,2,9,4,4,7,9,8
LEFT,465,503,2086,94,157,UP,490,550,3,8,9,5,8,6,5,8,8,2,9,4,4,7,9,8
BASH,465,503,2085,94,157,RIGHT,490,550,3,8,9,5,8,6,5,8,8,2,9,4,4,7,9,8
FORWARD,465,503,2080,96,157,RIGHT,490,550,9,8,9,8,2,8,2,3,8,2,9,4,4,7,9,8
BASH,465,503,2078,97,157,RIGHT,490,550,8,9,3,2,8,2,3,3,8,2,9,4,4,7,9,8
